Unique Merchant SKU	Product Name	Product URL	Image URL	Current Price	Stock Availability	Condition	EAN	UPC	ISBN	MPN	Shipping Rate	Original Price	Coupon Code	Coupon Code Description	Manufacturer	Product Description	Product Type	Category	Category ID	Parent SKU	Parent Name	Top Seller Rank	Estimated Ship Date	Gender	Color	Material	Size	Size Unit of Measure	Age Range	Cell Phone Plan Type	Cell Phone Service Provider	Stock Description	Product Launch Date	Product Bullet Point 1	Product Bullet Point 2	Product Bullet Point 3	Product Bullet Point 4	Product Bullet Point 5	Alternative Image URL 1	Alternative Image URL 2	Alternative Image URL 3	Alternative Image URL 4	Alternative Image URL 5	Mobile URL	Related Products	Merchandising Type	Product Weight	Zip Code	Shipping Weight	Weight Unit of Measure	Format	Unit Price	Bundle	Software Platform	Watch Display Type	ProductBid	Text1	Text2	Text3	Numeric1	Numeric2	Numeric3	Money1	Money2	Money3	Currency	Shipping Region	Labels	Promotion
7353191	123 Andres	https://vivid-seats.pxf.io/c/4969747/1017970/12730?prodsku=7353191&u=https%3A%2F%2Fwww.vividseats.com%2F123-andres-tickets-ridgefield-ridgefield-playhouse-10-25-2026--theater-family%2Fproduction%2F7353191%3Futm_term%3Dproduction-7353191&intsrc=CATF_7904	https://media.vsstatic.com/image/upload/hero/category/10-family/family-tickets-1.jpg	38.00														Theater																																							Ridgefield Playhouse	Ridgefield	80 E Ridge Rd, Ridgefield, CT 06877	28.16	32.93		92.05	38.00	38.00	USD			
7353191	123 Andres	https://vivid-seats.pxf.io/c/4969747/1017970/12730?prodsku=7353191&u=https%3A%2F%2Fwww.vividseats.com%2F123-andres-tickets-ridgefield-ridgefield-playhouse-10-25-2026--theater-family%2Fproduction%2F7353191%3Futm_term%3Dproduction-7353191&intsrc=CATF_7904	https://media.vsstatic.com/image/upload/hero/category/10-family/family-tickets-1.jpg	38.00														Theater																																							Ridgefield Playhouse	Ridgefield	80 E Ridge Rd, Ridgefield, CT 06877	28.16	32.93		92.05	38.00	38.00	USD			
7518283	2026 Asian Mid-Autumn and Harvest Festival Gala	https://vivid-seats.pxf.io/c/4969747/1017970/12730?prodsku=7518283&u=https%3A%2F%2Fwww.vividseats.com%2Fmid---autumn-festival-tickets-portland-newmark-theatre-9-20-2026%2Fproduction%2F7518283%3Futm_term%3Dproduction-7518283&intsrc=CATF_7904	https://media.vsstatic.com/image/upload/hero/category/63-music-festivals/music-festivals-tickets-1.jpg	75.00														Concert																																							Newmark Theatre	Portland	1111 S.W. Broadway, Portland, OR 97201	55.59	64.99		75.00	75.00	75.00	USD			
7145313	A Hundred Drums	https://vivid-seats.pxf.io/c/4969747/1017970/12730?prodsku=7145313&u=https%3A%2F%2Fwww.vividseats.com%2Fa-hundred-drums-tickets-portland-the-den---portland-12-5-2026--concerts-dance-electronica%2Fproduction%2F7145313%3Futm_term%3Dproduction-7145313&intsrc=CATF_7904	https://media.vsstatic.com/image/upload/hero/category/60-dance-electronica/dance-electronica-tickets-1.jpg	75.00														Concert																																							The Den - Portland	Portland	116 SE Yamhill St, Portland, OR 97217	55.59	64.99		75.00	75.00	75.00	USD			
7143164	A John Waters Christmas	https://vivid-seats.pxf.io/c/4969747/1017970/12730?prodsku=7143164&u=https%3A%2F%2Fwww.vividseats.com%2Fa-john-waters-christmas-tickets-portland-aladdin-theater-12-1-2026%2Fproduction%2F7143164%3Futm_term%3Dproduction-7143164&intsrc=CATF_7904	https://media.vsstatic.com/image/upload/hero/category/62-arts-theater/arts-theater-tickets-1.jpg	121.00														Theater																																							Aladdin Theater	Portland	3017 SE Milwaukie Ave, Portland, OR 97202	89.68	104.85		129.76	121.00	121.00	USD			
7324690	A Magical Cirque Christmas	https://vivid-seats.pxf.io/c/4969747/1017970/12730?prodsku=7324690&u=https%3A%2F%2Fwww.vividseats.com%2Fa-magical-cirque-christmas-tickets-portland-keller-auditorium-12-30-2026%2Fproduction%2F7324690%3Futm_term%3Dproduction-7324690&intsrc=CATF_7904	https://media.vsstatic.com/image/upload/hero/category/24-cirque/cirque-tickets-1.jpg	146.00														Theater																																							Keller Auditorium	Portland	222 SW Clay St, Portland, OR 97201	108.21	126.52		312.50	146.00	146.00	USD			
6708551	A.J. Croce	https://vivid-seats.pxf.io/c/4969747/1017970/12730?prodsku=6708551&u=https%3A%2F%2Fwww.vividseats.com%2Faj-croce-tickets-portland-revolution-hall-portland-10-1-2026%2Fproduction%2F6708551%3Futm_term%3Dproduction-6708551&intsrc=CATF_7904	https://media.vsstatic.com/image/upload/hero/category/17-pop/pop-tickets-1.jpg	151.00														Concert																																							Revolution Hall Portland	Portland	1300 SE Stark Street #110, Portland, OR 97214	111.91	130.85		164.88	151.00	151.00	USD			
7087588	Acid Mothers Temple	https://vivid-seats.pxf.io/c/4969747/1017970/12730?prodsku=7087588&u=https%3A%2F%2Fwww.vividseats.com%2Facid-mothers-temple-tickets-portland-polaris-hall-10-6-2026--concerts-alternative%2Fproduction%2F7087588%3Futm_term%3Dproduction-7087588&intsrc=CATF_7904	https://media.vsstatic.com/image/upload/hero/category/74-alternative/alternative-tickets-1.jpg	46.00														Concert																																							Polaris Hall	Portland	635 N Killingsworth Ct, Portland, OR 97217	34.09	39.86		46.00	46.00	46.00	USD			
7079019	Adela	https://vivid-seats.pxf.io/c/4969747/1017970/12730?prodsku=7079019&u=https%3A%2F%2Fwww.vividseats.com%2Fadela-jergova-tickets-portland-mcmenamins-crystal-ballroom-9-30-2026--concerts-pop%2Fproduction%2F7079019%3Futm_term%3Dproduction-7079019&intsrc=CATF_7904	https://media.vsstatic.com/image/upload/hero/category/17-pop/pop-tickets-1.jpg	190.00														Concert																																							McMenamins Crystal Ballroom	Portland	1332 West Burnside St, Portland, OR 97209	140.82	164.65		199.54	190.00	190.00	USD			
7229002	Agriculture	https://vivid-seats.pxf.io/c/4969747/1017970/12730?prodsku=7229002&u=https%3A%2F%2Fwww.vividseats.com%2Fagriculture-tickets-portland-aladdin-theater-11-18-2026--concerts-dance-electronica%2Fproduction%2F7229002%3Futm_term%3Dproduction-7229002&intsrc=CATF_7904	https://media.vsstatic.com/image/upload/hero/category/60-dance-electronica/dance-electronica-tickets-1.jpg	55.00														Concert																																							Aladdin Theater	Portland	3017 SE Milwaukie Ave, Portland, OR 97202	40.76	47.66		127.92	55.00	55.00	USD			
